T          V        N   RS       MinV       MaxV
1355297887 1.799450 004 7.196900 1.799050 1.799450
1355297919 1.799550 003 5.398250 1.799250 1.799550
1355297958 1.799450 002 3.599000 1.799450 1.799550
1355298030 1.799350 001 1.799350 1.799350 1.799350
1355298068 1.799450 002 3.598800 1.799350 1.799450
1355298175 1.799150 001 1.799150 1.799150 1.799150
1355298188 1.799050 002 3.598200 1.799050 1.799150
1355298200 1.798950 003 5.397150 1.798950 1.799150
1355298201 1.799050 004 7.196200 1.798950 1.799150
1355298216 1.798950 005 8.995150 1.798950 1.799150
1355298244 1.799150 005 8.995150 1.798950 1.799150
1355298263 1.799050 003 5.397150 1.798950 1.799150
1355298263 1.798950 004 7.196100 1.798950 1.799150
1355298270 1.799050 005 8.995150 1.798950 1.799150
1355298278 1.798950 005 8.995150 1.798950 1.799150
1355298320 1.798850 005 8.994850 1.798850 1.799050
1355298339 1.798750 002 3.597600 1.798750 1.798850
1355298368 1.798650 003 5.396250 1.798650 1.798850
1355298369 1.798750 004 7.195000 1.798650 1.798850
1355298372 1.798650 005 8.993650 1.798650 1.798850
1355298373 1.798750 006 10.792400 1.798650 1.798850
1355298429 1.798650 003 5.396050 1.798650 1.798750
1355298447 1.798750 002 3.597400 1.798650 1.798750
1355298447 1.798650 003 5.396050 1.798650 1.798750
1355298481 1.798750 004 7.194800 1.798650 1.798750
1355298501 1.798450 004 7.194600 1.798450 1.798750
1355298509 1.798550 003 5.395750 1.798450 1.798750
1355298509 1.798450 004 7.194200 1.798450 1.798750
1355298534 1.798550 005 8.992750 1.798450 1.798750
1355298539 1.798450 006 10.791200 1.798450 1.798750
1355298544 1.798350 006 10.790800 1.798350 1.798550
1355298601 1.798150 002 3.596500 1.798150 1.798350
1355298624 1.797950 002 3.596100 1.797950 1.798150
1355298636 1.798050 003 5.394150 1.797950 1.798150
1355298637 1.797950 004 7.192100 1.797950 1.798150
1355298641 1.798050 005 8.990150 1.797950 1.798150
1355298676 1.797950 005 8.989950 1.797950 1.798050
1355298702 1.797850 002 3.595800 1.797850 1.797950
1355298702 1.797750 003 5.393550 1.797750 1.797950
1355298709 1.797650 004 7.191200 1.797650 1.797950
1355298727 1.797750 005 8.988950 1.797650 1.797950
1355298748 1.797650 005 8.988650 1.797650 1.797850
1355298748 1.797750 006 10.786400 1.797650 1.797850
